Date__c,Amount__c,Method__c,_Method__c,_Form,Account__c,Establishment__c,Subject__c,Recurring__c,_Type,RecordTypeId,Category__c,_Category,_WF Visa,_FNBO Visa,_BR Visa,_WF Checking,_WF Savings,_FNBO Checking,_FNBO Savings,_Fidelity,_Cash,_Venmo,Reflected_Online__c
2022-07-23,42.8,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,,Greta Van Fleet tshirt,FALSE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,42.8,,,,,,,,,,TRUE
2022-07-23,60,Venmo Transfer,Venmo Transfer,WF Checking,"001Dn0000033D9ZIAU	",,Paid Isabelle Loos for GVF ticket,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Nonnegotiable Unpredictables,(ND) Nonnegotiable Unpredictables,,,,-60,,,,,,,TRUE
2022-07-24,15.81,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Ace Hardware,Ace Hardware - key copies and s-biner clips,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Necessary Life Supplies,(ND) Necessary Life Supplies,,,15.81,,,,,,,,TRUE
2022-07-24,250,Zelle Transfer,Zelle Transfer,WF Checking,"001Dn0000033D9ZIAU	",,Student loan payback to Dad,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Student loan payback to Dad,(ND) Student loan payback to Dad,,,,-250,,,,,,,TRUE
2022-07-26,6,Cash,Cash,Cash,001Dn0000033D9iIAE,,Spent cash somewhere,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Nonnegotiable Unpredictables,(ND) Nonnegotiable Unpredictables,,,,,,,,,-6,,FALSE
2022-07-26,8,Cash,Cash,Cash,001Dn0000033D9iIAE,Union Coffee,Union coffee shop - cofee & muffin,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,,,,,,,-8,,FALSE
2022-07-26,14,Cash,Cash,Cash,001Dn0000033D9iIAE,,Beer at Aksarben park,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,,,,,,,,-14,,FALSE
2022-07-26,17.75,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Frozen Thai,Date night - slushie ice things from Frozen Thai,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,,17.75,,,,,,,,TRUE
2022-07-26,25.53,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Tasty Pizza,Tasty Pizza - date night dinner,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,25.53,,,,,,,,,TRUE
2022-07-27,3,Cash,Cash,Cash,001Dn0000033D9iIAE,Starbucks,Starbucks - snacks,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,,,,,,,-3,,FALSE
2022-07-27,12.08,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Cubby's,Cubby's - Band beer,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,12.08,,,,,,,,,,TRUE
2022-07-28,20.24,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Pickleman's,Pickleman's - dinner,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,20.24,,,,,,,,TRUE
2022-07-29,12.34,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,FNBO,FN Tower Interchange - lunch,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,12.34,,,,,,,,,TRUE
2022-07-31,12.23,Online Payment,Online Transfer,WF Checking,"001Dn0000033D9ZIAU	",Progressive,Progressive - renter's insurance,TRUE,Nondiscretionary,012Dn000000tHzcIAE,Car & Renter's Insurance,(ND) Car & Renter's Insurance,,,,-12.23,,,,,,,TRUE
2022-07-31,37.75,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Kum & Go,Kum & Go - gas,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,37.75,,,,,,,,,,TRUE
2022-07-31,50.91,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Original Pancake House,Original Pancake House - brunch with Mikey,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,,50.91,,,,,,,,TRUE
2022-08-01,1425.74,Online Payment,Online Transfer,FNBO Checking,001Dn0000033D9jIAE,Joslyn Lofts,Joslyn Lofts - rent,TRUE,Nondiscretionary,012Dn000000tHzcIAE,Rent & Utilities,(ND) Rent & Utilities,,,,,,-1425.74,,,,,TRUE
2022-08-01,13.4,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Culver's,Culver's - dinner,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,13.4,,,,,,,,,,TRUE
2022-08-03,10.69,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,,HBO Max subscription,TRUE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,,,10.69,,,,,,,,TRUE
2022-08-03,33,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,YMCA,YMCA Subscription,TRUE,Nondiscretionary,012Dn000000tHzcIAE,YMCA Subscription,(ND) YMCA Subscription,33,,,,,,,,,,TRUE
2022-08-03,5.95,Online Payment,Online Transfer,WF Checking,"001Dn0000033D9ZIAU	",,ATM Withdrawal fee,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Nonnegotiable Unpredictables,(ND) Nonnegotiable Unpredictables,,,,-6.45,,,,,,,TRUE
2022-08-03,21.44,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Caribou Coffee,Caribou - coffee & bagels,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,21.44,,,,,,,,,,TRUE
2022-08-03,37,Cash,Cash,Cash,001Dn0000033D9iIAE,,Food and drinks at Rhythm on the Rails,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,,,,,,,-37,,FALSE
2022-08-04,85.11,Online Payment,Online Transfer,FNBO Checking,001Dn0000033D9jIAE,Cox,Cox Internet,TRUE,Nondiscretionary,012Dn000000tHzcIAE,Internet,(ND) Internet,,,,,,-85.11,,,,,TRUE
2022-08-05,46,Cash,Cash,Cash,001Dn0000033D9iIAE,Loon's Landing,Loon's Landing - beer,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,,,,,,,,-46,,FALSE
2022-08-06,39.95,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,BP,BP - gas,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,,,39.95,,,,,,,,TRUE
2022-08-07,26.74,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Russell Speeder's,Russell Speeder's Unlimited Express Subscription,TRUE,Nondiscretionary,012Dn000000tHzcIAE,Carwash Subscription,(ND) Carwash Subscription,26.74,,,,,,,,,,TRUE
2022-08-07,5.65,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Sozo,Sozo - coffee,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,5.65,,,,,,,,,TRUE
2022-08-07,50.78,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Old Navy,Old Navy - clothes,FALSE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,,,50.78,,,,,,,,TRUE
2022-08-08,8.21,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Costco,Costco - food,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,8.21,,,,,,,,,,TRUE
2022-08-09,50,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Park Omaha,Park Omaha wallet,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,,,50,,,,,,,,TRUE
2022-08-10,28.84,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,,Interest charge on late payment,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Nonnegotiable Unpredictables,(ND) Nonnegotiable Unpredictables,,,28.84,,,,,,,,TRUE
2022-08-10,30,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Lime,Lime Cash,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,,,30,,,,,,,,TRUE
2022-08-10,267.52,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Reverb,Reverb - PreSonus 1810c,FALSE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,,,267.52,,,,,,,,TRUE
2022-08-12,19.88,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Pickleman's,Pickleman's - dinner,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,19.88,,,,,,,,TRUE
2022-08-13,4.26,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,,Movie rental - Death on the Nile,FALSE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,4.26,,,,,,,,,,TRUE
2022-08-13,17.81,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Five Below,Five Below - some stuff,FALSE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,17.81,,,,,,,,,,TRUE
2022-08-13,26.74,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Barnes & Noble,Barnes & Noble - Bohnanza,FALSE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,,26.74,,,,,,,,,TRUE
2022-08-13,28.5,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Spielbound,Spielbound - game passes and drinks,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,,28.5,,,,,,,,TRUE
2022-08-13,36.62,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Baker's,Baker's - gas,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,,,36.62,,,,,,,,TRUE
2022-08-14,23.35,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Baker's,Baker's - groceries,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,,23.35,,,,,,,,,TRUE
2022-08-14,30.24,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Jam's,Jam's - men's lunch,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,30.24,,,,,,,,,,TRUE
2022-08-15,5.33,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,,Apple TV,TRUE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,5.33,,,,,,,,,,TRUE
2022-08-15,12,Cash,Cash,Cash,001Dn0000033D9iIAE,Howling Hounds,Howling Hounds - coffee,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,,,,,,,-12,,FALSE
2022-08-16,8,Cash,Cash,Cash,001Dn0000033D9iIAE,13th Street Coffee,13th Street Coffee - coffee and snacks,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,,,,,,,-8,,FALSE
2022-08-16,16,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Park Omaha,Parking violation,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,,,16,,,,,,,,TRUE
2022-08-17,11.76,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Walmart,Walmart - chicken nuggets & cheerios,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,,11.76,,,,,,,,,TRUE
2022-08-17,250,Check,Check,WF Checking,"001Dn0000033D9ZIAU	",,Corolla Payment,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Car Payment,(ND) Car Payment,,,,-250,,,,,,,TRUE
2022-08-18,96.67,Online Payment,Online Transfer,WF Checking,"001Dn0000033D9ZIAU	",Progressive,Progressive - renter's insurance,TRUE,Nondiscretionary,012Dn000000tHzcIAE,Car & Renter's Insurance,(ND) Car & Renter's Insurance,,,,-96.67,,,,,,,TRUE
2022-08-18,4.67,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,FNBO,Main Bank 16th Floor Dining Room,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,4.67,,,,,,,,,TRUE
2022-08-18,30,Zelle Transfer,Zelle Transfer,WF Checking,"001Dn0000033D9ZIAU	",,Phone Payment to Dad,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Phone Payment to Dad,(ND) Phone Payment to Dad,,,,-30,,,,,,,TRUE
2022-08-19,4.17,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,FNBO,Main Bank 16th Floor Dining Room,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,4.17,,,,,,,,,TRUE
2022-08-19,31,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Sweetwater,Sweetwater - music supplies,FALSE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,,31,,,,,,,,,TRUE
2022-08-20,3,Cash,Cash,Cash,001Dn0000033D9iIAE,Hu Hot,Tipped guys at Hu Hot,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,,,,,,,-3,,FALSE
2022-08-20,91.96,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Hu Hot,Hu Hot - dinner,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,91.96,,,,,,,,TRUE
2022-08-21,13.89,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Sweetwater,MXR patch cables,FALSE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,,13.89,,,,,,,,,TRUE
2022-08-21,124.16,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Aldi,Aldi - groceries,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,,124.16,,,,,,,,,TRUE
2022-08-22,250,Zelle Transfer,Zelle Transfer,WF Checking,"001Dn0000033D9ZIAU	",,Student loan payback to Dad,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Student loan payback to Dad,(ND) Student loan payback to Dad,,,,-250,,,,,,,TRUE
2022-08-23,6.39,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Union Coffee,Union coffee shop - coffee,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,6.39,,,,,,,,TRUE
2022-08-23,20.26,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Hy-vee,Hy-vee - groceries,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,,20.26,,,,,,,,,TRUE
2022-08-24,33.16,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Amazon,Amazon - new water kettle,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Necessary Life Supplies,(ND) Necessary Life Supplies,33.16,,,,,,,,,,TRUE
2022-08-25,34.48,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Pickleman's,Pickleman's - dinner,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,34.48,,,,,,,,,,TRUE
2022-08-26,16.46,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Juice Stop,Juice Stop - smoothies,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,16.46,,,,,,,,TRUE
2022-08-27,21.46,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Bison Witches Bar & Deli (Lincoln),Bison Witches Bar & Deli - lunch,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,21.46,,,,,,,,,TRUE
2022-08-27,37.33,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Hy-Vee,Hy-vee - groceries,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,37.33,,,,,,,,,,TRUE
2022-08-28,3.28,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Sozo,Sozo - coffee,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,3.28,,,,,,,,TRUE
2022-08-28,41.72,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Amazon,Amazon - dress for Kawai,FALSE,Discretionary,012Dn000000tHzXIAU,Giftgiving,(D) Giftgiving,41.72,,,,,,,,,,TRUE
2022-08-28,160.17,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Costco,Costco - groceries,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,,160.17,,,,,,,,,TRUE
2022-08-29,20.99,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Howling Hounds,Howling Hounds - coffee (tipped extra because it's Greg's birthday),FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,20.99,,,,,,,,,TRUE
2022-08-30,12.24,Online Payment,Online Transfer,WF Checking,"001Dn0000033D9ZIAU	",Progressive,Progressive - renter's insurance,TRUE,Nondiscretionary,012Dn000000tHzcIAE,Car & Renter's Insurance,(ND) Car & Renter's Insurance,,,,-12.24,,,,,,,TRUE
2022-08-30,17.04,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Hy-Vee,Hy-vee - groceries,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,17.04,,,,,,,,,,TRUE
2022-08-30,189.93,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,GreenStreet Cycles,GreenStreet Cycles - bike repair,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Nonnegotiable Unpredictables,(ND) Nonnegotiable Unpredictables,,,189.93,,,,,,,,TRUE
2022-09-01,85.11,Online Payment,Online Transfer,FNBO Checking,001Dn0000033D9jIAE,Cox,Cox Internet,TRUE,Nondiscretionary,012Dn000000tHzcIAE,Internet,(ND) Internet,,,,,,-85.11,,,,,TRUE
2022-09-01,1422.86,Online Payment,Online Transfer,FNBO Checking,001Dn0000033D9jIAE,Joslyn Lofts,Joslyn Lofts - rent,TRUE,Nondiscretionary,012Dn000000tHzcIAE,Rent & Utilities,(ND) Rent & Utilities,,,,,,-1422.86,,,,,TRUE
2022-09-01,17.32,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Krispy Kreme,Krispy Kreme,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,17.32,,,,,,,,,,TRUE
2022-09-01,22.23,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Wendy's,Wendy's - dinner,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,22.23,,,,,,,,TRUE
2022-09-02,32.6,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Perkins,Perkins - dinner,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,32.6,,,,,,,,,TRUE
2022-09-03,10.69,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,,HBO Max subscription,TRUE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,,,10.69,,,,,,,,TRUE
2022-09-03,33,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,YMCA,YMCA Subscription,TRUE,Nondiscretionary,012Dn000000tHzcIAE,YMCA Subscription,(ND) YMCA Subscription,33,,,,,,,,,,TRUE
2022-09-03,5.5,Online Payment,Online Transfer,WF Checking,"001Dn0000033D9ZIAU	",,ATM Withdrawal fee,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Nonnegotiable Unpredictables,(ND) Nonnegotiable Unpredictables,,,,-5.5,,,,,,,TRUE
2022-09-03,25.77,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Target,Target - hair stuff and a wedding card,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Necessary Life Supplies,(ND) Necessary Life Supplies,,,25.77,,,,,,,,TRUE
2022-09-05,40.69,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Total Wine,Total Wine - beer for Mom & Dad,FALSE,Discretionary,012Dn000000tHzXIAU,Giftgiving,(D) Giftgiving,40.69,,,,,,,,,,TRUE
2022-09-05,45.73,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Speedway,Speedway - gas,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,,,45.73,,,,,,,,TRUE
2022-09-06,21.47,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Subway,Subway,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,21.47,,,,,,,,TRUE
2022-09-06,30.97,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Amazon,Amazon - international power converter brick and fanny pack,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Necessary Life Supplies,(ND) Necessary Life Supplies,30.97,,,,,,,,,,TRUE
2022-09-06,60,Venmo Transfer,Venmo Transfer,Venmo,001Dn0000033D9fIAE,,Paid Mom for Billy & Laura's wedding gift,FALSE,Discretionary,012Dn000000tHzXIAU,Giftgiving,(D) Giftgiving,,,,,,,,,,-60,TRUE
2022-09-06,73.72,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,FNBO,FNBO United Way donation - Titleist golf balls,FALSE,Discretionary,012Dn000000tHzXIAU,Charitable giving,(D) Charitable giving,73.72,,,,,,,,,,TRUE
2022-09-07,26.74,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Russell Speeder's,Russell Speeder's Unlimited Express Subscription,TRUE,Nondiscretionary,012Dn000000tHzcIAE,Carwash Subscription,(ND) Carwash Subscription,26.74,,,,,,,,,,TRUE
2022-09-07,3.18,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,FNBO,Main Bank 16th Floor Dining Room,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,3.18,,,,,,,,,TRUE
2022-09-07,43,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Victory Barber Shop,Victory Barber - haircut,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Nonnegotiable Unpredictables,(ND) Nonnegotiable Unpredictables,,43,,,,,,,,,TRUE
2022-09-07,50,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Park Omaha,Park Omaha wallet,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,,,50,,,,,,,,TRUE
2022-09-08,13.98,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,FNBO,FN Tower Interchange - lunch,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,13.98,,,,,,,,,TRUE
2022-09-09,24,Cash,Cash,Cash,001Dn0000033D9iIAE,Harney Street Tavern,Harney Street Tavern - drinks and darts,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,,,,,,,,-24,,FALSE
2022-09-10,12.21,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Sonic,Sonic - tasty treats,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,12.21,,,,,,,,,,TRUE
2022-09-10,12.51,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,JFK International Airport,Airport snacks,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,12.51,,,,,,,,,,TRUE
2022-09-10,22.99,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,JFK International Airport,Airport lunch,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,22.99,,,,,,,,TRUE
2022-09-10,75,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Delta Airlines,Checked bag at Delta,FALSE,Discretionary,012Dn000000tHzXIAU,Vacationing,(D) Vacationing,,75,,,,,,,,,TRUE
2022-09-11,5,Online Payment,Online Transfer,WF Checking,"001Dn0000033D9ZIAU	",,ATM Withdrawal fee,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Nonnegotiable Unpredictables,(ND) Nonnegotiable Unpredictables,,,,-5,,,,,,,TRUE
2022-09-12,133.52,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Tren Italia,Train tickets to Bologna,FALSE,Discretionary,012Dn000000tHzXIAU,Vacationing,(D) Vacationing,133.52,,,,,,,,,,TRUE
2022-09-13,13.25,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,,Bottle of wine for Mom & Dad,FALSE,Discretionary,012Dn000000tHzXIAU,Giftgiving,(D) Giftgiving,13.25,,,,,,,,,,TRUE
2022-09-13,44.94,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Old Navy,Old Navy - clothes,FALSE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,,,44.94,,,,,,,,TRUE
2022-09-14,5.33,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,,Apple TV,TRUE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,5.33,,,,,,,,,,TRUE
2022-09-15,5,Online Payment,Online Transfer,WF Checking,"001Dn0000033D9ZIAU	",,ATM Withdrawal fee,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Nonnegotiable Unpredictables,(ND) Nonnegotiable Unpredictables,,,,-5,,,,,,,TRUE
2022-09-15,24.06,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Tren Italia,Train tickets to Florence,FALSE,Discretionary,012Dn000000tHzXIAU,Vacationing,(D) Vacationing,24.06,,,,,,,,,,TRUE
2022-09-16,20,Venmo Transfer,Venmo Transfer,Venmo,001Dn0000033D9fIAE,,Paid Billy for not being able to attend pizza party,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Nonnegotiable Unpredictables,(ND) Nonnegotiable Unpredictables,,,,,,,,,,-20,TRUE
2022-09-16,171.65,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Termini B&B,Bullshit scam B&B in Rome,FALSE,Discretionary,012Dn000000tHzXIAU,Vacationing,(D) Vacationing,171.65,,,,,,,,,,TRUE
