Date__c,Amount__c,Method__c,_Method__c,_Form,Account__c,Establishment__c,Subject__c,Recurring__c,_Type,RecordTypeId,Category__c,_Category,_WF Visa,_FNBO Visa,_BR Visa,_WF Checking,_WF Savings,_FNBO Checking,_FNBO Savings,_Fidelity,_Cash,_Venmo,Reflected_Online__c
2022-06-19,11.58,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,,Road trip snacks from bearwithus tour,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,11.58,,,,,,,,,,TRUE
2022-06-19,17.44,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,,Gas somewhere on road trip,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,17.44,,,,,,,,,,TRUE
2022-06-19,26.82,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,,Gas on bearwithus road trip,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,,26.82,,,,,,,,,TRUE
2022-06-20,8.17,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Lime,Lime Scooter,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,,8.17,,,,,,,,,TRUE
2022-06-20,250,Check,Check,WF Checking,"001Dn0000033D9ZIAU	",,Corolla Payment,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Car Payment,(ND) Car Payment,,,,-250,,,,,,,TRUE
2022-06-21,96.67,Online Payment,Online Transfer,WF Checking,"001Dn0000033D9ZIAU	",Progressive,Progressive - auto insurance,TRUE,Nondiscretionary,012Dn000000tHzcIAE,Car & Renter's Insurance,(ND) Car & Renter's Insurance,,,,-96.67,,,,,,,TRUE
2022-06-21,2.26,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Lime,Lime Scooter,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,,2.26,,,,,,,,,TRUE
2022-06-21,30,Zelle Transfer,Zelle Transfer,WF Checking,"001Dn0000033D9ZIAU	",,Phone Payment to Dad,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Phone Payment to Dad,(ND) Phone Payment to Dad,,,,-30,,,,,,,TRUE
2022-06-21,320,Cash,Cash,Cash,001Dn0000033D9iIAE,,New TV after I broke the old one,FALSE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,,,,,,,,,-320,,FALSE
2022-06-24,10,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Park Omaha,Parking violation,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,10,,,,,,,,,,TRUE
2022-06-24,11.24,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Lime,Lime Scooter,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,,11.24,,,,,,,,,FALSE
2022-06-24,20,Cash,Cash,Cash,001Dn0000033D9iIAE,Harney Street Tavern,Harney Street Tavern - drinks,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,,,,,,,,-20,,FALSE
2022-06-24,250,Zelle Transfer,Zelle Transfer,WF Checking,"001Dn0000033D9ZIAU	",,Student loan payback to Dad,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Student loan payback to Dad,(ND) Student loan payback to Dad,,,,-250,,,,,,,TRUE
2022-06-25,12,Cash,Cash,Cash,001Dn0000033D9iIAE,Lake Manawa,Admission to the feach,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,,,,,,,,-12,,FALSE
2022-06-25,14.5,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Lake Manawa,Food at the feach,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,14.5,,,,,,,,,TRUE
2022-06-25,30.79,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Cracker Barrel,Cracker Barrel - dinner,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,30.79,,,,,,,,,,TRUE
2022-06-27,14.33,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Target,Target - avocado oil and flowers,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Necessary Life Supplies,(ND) Necessary Life Supplies,,14.33,,,,,,,,,TRUE
2022-06-27,48.83,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Costco,Costco - gas,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,,48.83,,,,,,,,,TRUE
2022-06-27,168.77,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Costco,Costco - groceries,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Groceries & Gas,(ND) Groceries & Gas,168.77,,,,,,,,,,TRUE
2022-06-28,2.26,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Lime,Lime Scooter,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,,2.26,,,,,,,,,TRUE
2022-06-28,5,Cash,Cash,Cash,001Dn0000033D9iIAE,Sozo,Sozo - tea,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,,,,,,,-5,,FALSE
2022-06-30,12.24,Online Payment,Online Transfer,WF Checking,"001Dn0000033D9ZIAU	",Progressive,Progressive - renter's insurance,TRUE,Nondiscretionary,012Dn000000tHzcIAE,Car & Renter's Insurance,(ND) Car & Renter's Insurance,,,,-12.24,,,,,,,TRUE
2022-06-30,13,Cash,Cash,Cash,001Dn0000033D9iIAE,Dubliner Pub,Dub - drinks,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,,,,,,,,-13,,FALSE
2022-07-02,5,Cash,Cash,Cash,001Dn0000033D9iIAE,,Tipped Craig for his smoked meat,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,,,,,,,-5,,FALSE
2022-07-02,20,Cash,Cash,Cash,001Dn0000033D9iIAE,Shakedown Street,Shakedown Street - drinks,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,,,,,,,,-20,,FALSE
2022-07-02,23,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,GoFundMe,GoFundMe - Ground Floor Guitar Robbery,FALSE,Discretionary,012Dn000000tHzXIAU,Charitable giving,(D) Charitable giving,23,,,,,,,,,,TRUE
2022-07-02,35.92,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Jake's Cigars,Jake's Cigars,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,35.92,,,,,,,,,,TRUE
2022-07-02,142,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,,6mp,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Necessary Life Supplies,(ND) Necessary Life Supplies,142,,,,,,,,,,TRUE
2022-07-03,33,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,YMCA,YMCA Subscription,TRUE,Nondiscretionary,012Dn000000tHzcIAE,YMCA Subscription,(ND) YMCA Subscription,33,,,,,,,,,,TRUE
2022-07-03,3.21,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Lime,Lime Scooter,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,,3.21,,,,,,,,,TRUE
2022-07-03,8,Cash,Cash,Cash,001Dn0000033D9iIAE,Cubby's,Cubby's - potatoes and Body Armor,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,,,,,,,-8,,FALSE
2022-07-04,1431.83,Online Payment,Online Transfer,FNBO Checking,001Dn0000033D9jIAE,Joslyn Lofts,Joslyn Lofts - rent,TRUE,Nondiscretionary,012Dn000000tHzcIAE,Rent & Utilities,(ND) Rent & Utilities,,,,,,-1431.83,,,,,TRUE
2022-07-04,1.62,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Walmart,Walmart - Ice,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Necessary Life Supplies,(ND) Necessary Life Supplies,1.62,,,,,,,,,,TRUE
2022-07-04,6,Cash,Cash,Cash,001Dn0000033D9iIAE,Lake Manawa,Admission to the feach,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,,,,,,,,-6,,FALSE
2022-07-04,8.55,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Subway,Subway,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,8.55,,,,,,,,,TRUE
2022-07-04,40,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,,Late card payment fee,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Nonnegotiable Unpredictables,(ND) Nonnegotiable Unpredictables,,,40,,,,,,,,TRUE
2022-07-04,46.95,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Red Lobster,Red Lobster - dinner,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,46.95,,,,,,,,,TRUE
2022-07-05,3.62,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Lime,Lime Scooter,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,,3.62,,,,,,,,,TRUE
2022-07-05,53.68,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Salween,Salween - anniversary dinner,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,53.68,,,,,,,,,,TRUE
2022-07-06,92.12,Online Payment,Online Transfer,FNBO Checking,001Dn0000033D9jIAE,Cox,Cox Internet,TRUE,Nondiscretionary,012Dn000000tHzcIAE,Internet,(ND) Internet,,,,,,-92.12,,,,,TRUE
2022-07-06,29.5,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Park Omaha,Parking for the last few weeks (including ticket),FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,29.5,,,,,,,,,,TRUE
2022-07-07,10.69,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,,HBO Max subscription,TRUE,Discretionary,012Dn000000tHzXIAU,Products & Merchandise,(D) Products & Merchandise,,,10.69,,,,,,,,TRUE
2022-07-07,26.74,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Russell Speeder's,Russell Speeder's Unlimited Express Subscription,TRUE,Nondiscretionary,012Dn000000tHzcIAE,Carwash Subscription,(ND) Carwash Subscription,26.74,,,,,,,,,,TRUE
2022-07-07,2.89,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Lime,Lime Scooter,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,,2.89,,,,,,,,,TRUE
2022-07-07,50,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Park Omaha,Park Omaha wallet,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,,,50,,,,,,,,TRUE
2022-07-08,25,Cash,Cash,Cash,001Dn0000033D9iIAE,Beercade,Beercade - games,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,,,,,,,,-25,,FALSE
2022-07-08,1222.14,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Delta Airlines,Booked flight for Bill & Laura's wedding,FALSE,Discretionary,012Dn000000tHzXIAU,Vacationing,(D) Vacationing,,,1222.14,,,,,,,,TRUE
2022-07-09,6,Cash,Cash,Cash,001Dn0000033D9iIAE,Godega,Godega - coffee,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,,,,,,,-6,,FALSE
2022-07-09,10.97,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Juice Stop,Juice Stop - smoothies,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,10.97,,,,,,,,,,TRUE
2022-07-09,29.59,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Lucky Tiger,Lucky Tiger - lunch,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,29.59,,,,,,,,,TRUE
2022-07-09,35.31,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Amazon,Amazon - household needs,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Necessary Life Supplies,(ND) Necessary Life Supplies,35.31,,,,,,,,,,TRUE
2022-07-10,2.89,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Lime,Lime Scooter,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,,,2.89,,,,,,,,TRUE
2022-07-10,5.94,Credit Card,Card - WF Visa,Card - WF Visa,001Dn0000033D9YIAU,Coneflower,Coneflower,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,5.94,,,,,,,,,,TRUE
2022-07-10,14.63,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,,Interest charge on late payment,FALSE,Nondiscretionary,012Dn000000tHzcIAE,Nonnegotiable Unpredictables,(ND) Nonnegotiable Unpredictables,,,14.63,,,,,,,,TRUE
2022-07-10,16.93,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,First Watch,First Watch - brunch,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,,16.93,,,,,,,,TRUE
2022-07-11,15.84,Credit Card,Card - FNBO Visa,Card - FNBO Visa,001Dn0000033D9dIAE,Ted & Wally's,Ted n Wallys - ice cream,FALSE,Discretionary,012Dn000000tHzXIAU,Food & Leisure,(D) Food & Leisure,,15.84,,,,,,,,,TRUE
2022-07-12,2,Cash,Cash,Cash,001Dn0000033D9iIAE,,Tipped street violinist guy,FALSE,Discretionary,012Dn000000tHzXIAU,Recreation,(D) Recreation,,,,,,,,,-2,,FALSE
2022-07-12,2.53,Credit Card,Card - BR Visa,Card - BR Visa,001Dn0000033D9eIAE,Lime,Lime Scooter,FALSE,Discretionary,012Dn000000tHzXIAU,Parking & Scooters,(D) Parking & Scooters,,,2.53,,,,,,,,TRUE
